Time	Channel A	Channel B	Channel C
(us)	(V)	(mV)	(mV)

-4.09999969	0.00000000	60.08243000	7.89247000
-3.89999971	0.00000000	60.08243000	7.89247000
-3.69999972	0.00000000	60.08243000	7.89247000
-3.49999973	0.00000000	60.08243000	7.89247000
-3.29999974	0.00000000	60.08243000	7.89247000
-3.09999975	0.00000000	60.08243000	7.89247000
-2.89999977	0.00000000	60.08243000	7.89247000
-2.69999978	0.00000000	60.08243000	7.89247000
-2.49999979	0.00000000	60.08243000	7.89247000
-2.29999980	0.00000000	60.08243000	7.89247000
-2.09999981	0.00000000	60.08243000	7.89247000
-1.89999982	0.00000000	60.08243000	7.89247000
-1.69999984	0.00000000	60.08243000	7.89247000
-1.49999985	0.00000000	61.66338000	7.89247000
-1.29999986	0.00000000	61.66338000	7.89247000
-1.09999987	0.00000000	61.66338000	7.89247000
-0.89999988	0.00000000	61.66338000	7.89247000
-0.69999990	0.00000000	61.66338000	7.89247000
-0.49999991	0.00000000	60.08243000	7.89247000
-0.29999992	0.31803640	61.66338000	7.89247000
-0.09999993	0.63668800	61.66338000	7.89247000
0.10000006	0.95533960	61.66338000	7.89247000
0.30000004	1.11466500	60.08243000	7.89247000
0.50000003	0.95533960	60.08243000	7.89247000
0.70000002	0.63668800	60.08243000	7.89247000
0.90000001	0.00000000	60.08243000	7.89247000
1.10000000	-0.95533960	60.08243000	7.89247000
1.29999999	-1.91129400	58.50147000	7.89247000
1.49999997	-2.54859700	58.50147000	7.89247000
1.69999996	-2.70792300	58.50147000	7.89247000
1.89999995	-2.38927200	58.50147000	7.89247000
2.09999994	-1.11466500	58.50147000	7.89247000
2.29999993	0.63668800	61.66338000	7.89247000
2.49999991	2.54859700	61.66338000	7.89247000
2.69999990	4.30056600	63.24434000	7.89247000
2.89999989	5.41584600	63.24434000	7.89247000
3.09999988	5.09719500	63.24434000	7.89247000
3.29999987	3.66326300	63.24434000	7.89247000
3.49999985	0.95533960	61.66338000	7.89247000
3.69999984	-2.22994600	58.50147000	6.31151500
3.89999983	-5.25652100	56.92052000	7.89247000
4.09999982	-7.32714100	56.92052000	7.89247000
4.29999981	-7.96444400	55.33957000	7.89247000
4.49999980	-6.84916400	55.33957000	7.89247000
4.69999978	-3.98191400	56.92052000	7.89247000
4.89999977	0.00000000	60.08243000	7.89247000
5.09999976	4.14124000	61.66338000	7.89247000
5.29999975	7.64579200	64.82529000	7.89247000
5.49999974	9.39837600	64.82529000	9.47342500
5.69999972	9.23905000	64.82529000	7.89247000
5.89999971	6.84916400	64.82529000	7.89247000
6.09999970	3.02657500	61.66338000	7.89247000
6.29999969	-1.43331700	58.50147000	6.31151500
6.49999968	-5.73449800	55.33957000	6.31151500
6.69999967	-8.60174700	55.33957000	6.31151500
6.89999965	-9.55770200	53.75861000	6.31151500
7.09999964	-8.44242100	55.33957000	7.89247000
7.29999963	-5.57517200	56.92052000	7.89247000
7.49999962	-1.43331700	60.08243000	7.89247000
7.69999961	2.54859700	61.66338000	7.89247000
7.89999959	5.89382400	63.24434000	7.89247000
8.09999958	7.64579200	64.82529000	7.89247000
8.29999957	7.64579200	63.24434000	7.89247000
8.49999956	6.05315000	63.24434000	7.89247000
8.69999955	3.34522600	61.66338000	7.89247000
8.89999953	0.00000000	60.08243000	7.89247000
9.09999952	-2.70792300	56.92052000	7.89247000
9.29999951	-4.61921700	56.92052000	7.89247000
9.49999950	-5.25652100	56.92052000	7.89247000
9.69999949	-4.61921700	56.92052000	7.89247000
9.89999948	-3.18590100	58.50147000	7.89247000
10.09999946	-1.27399100	60.08243000	7.89247000
10.29999945	0.47736220	60.08243000	7.89247000
10.49999944	1.91129400	61.66338000	7.89247000
10.69999943	2.54859700	60.08243000	7.89247000
10.89999942	2.54859700	61.66338000	7.89247000
11.09999940	1.91129400	60.08243000	7.89247000
11.29999939	1.11466500	60.08243000	7.89247000
11.49999938	0.31803640	60.08243000	7.89247000
11.69999937	-0.47736220	58.50147000	7.89247000
11.89999936	-0.79601380	60.08243000	7.89247000
12.09999934	-0.95533960	60.08243000	7.89247000
12.29999933	-0.95533960	60.08243000	7.89247000
12.49999932	-0.63668800	60.08243000	7.89247000
12.69999931	-0.31803640	60.08243000	7.89247000
12.89999930	0.00000000	60.08243000	7.89247000
13.09999929	0.00000000	60.08243000	7.89247000
13.29999927	0.00000000	60.08243000	7.89247000
13.49999926	-0.15871060	60.08243000	7.89247000
13.69999925	-0.15871060	60.08243000	7.89247000
13.89999924	0.00000000	60.08243000	7.89247000
14.09999923	-0.15871060	60.08243000	7.89247000
14.29999921	0.00000000	60.08243000	7.89247000
14.49999920	0.00000000	60.08243000	7.89247000
14.69999919	0.00000000	60.08243000	7.89247000
14.89999918	0.00000000	60.08243000	7.89247000
15.09999917	0.00000000	60.08243000	7.89247000
15.29999915	0.00000000	60.08243000	7.89247000
15.49999914	0.00000000	60.08243000	7.89247000
15.69999913	0.00000000	60.08243000	7.89247000
15.89999912	0.00000000	58.50147000	7.89247000
16.09999911	0.00000000	58.50147000	7.89247000
16.29999910	0.00000000	58.50147000	7.89247000
16.49999908	0.00000000	58.50147000	7.89247000
16.69999907	0.00000000	58.50147000	7.89247000
16.89999906	0.00000000	58.50147000	7.89247000
17.09999905	0.00000000	58.50147000	7.89247000
17.29999904	0.00000000	60.08243000	7.89247000
17.49999902	0.00000000	61.66338000	7.89247000
17.69999901	0.00000000	61.66338000	7.89247000
17.89999900	0.00000000	63.24434000	7.89247000
18.09999899	0.00000000	63.24434000	7.89247000
18.29999898	0.00000000	63.24434000	7.89247000
18.49999896	0.00000000	61.66338000	7.89247000
18.69999895	0.00000000	58.50147000	7.89247000
18.89999894	0.00000000	55.33957000	7.89247000
19.09999893	0.00000000	53.75861000	7.89247000
19.29999892	0.00000000	52.17765000	7.89247000
19.49999891	0.00000000	52.17765000	7.89247000
19.69999889	0.00000000	52.17765000	7.89247000
19.89999888	0.00000000	55.33957000	7.89247000
20.09999887	0.00000000	58.50147000	7.89247000
20.29999886	0.00000000	63.24434000	7.89247000
20.49999885	0.00000000	66.40624000	7.89247000
20.69999883	0.00000000	69.57431000	7.89247000
20.89999882	0.00000000	69.57431000	7.89247000
21.09999881	0.00000000	67.99335000	7.89247000
21.29999880	0.00000000	63.24434000	7.89247000
21.49999879	0.00000000	58.50147000	7.89247000
21.69999877	0.00000000	53.75861000	6.31151500
21.89999876	0.00000000	49.01575000	7.89247000
22.09999875	0.00000000	47.43479000	7.89247000
22.29999874	0.00000000	47.43479000	7.89247000
22.49999873	0.00000000	50.59670000	7.89247000
22.69999872	0.00000000	55.33957000	9.47342500
22.89999870	0.00000000	60.08243000	9.47342500
23.09999869	0.00000000	64.82529000	9.47342500
23.29999868	0.00000000	69.57431000	9.47342500
23.49999867	0.00000000	71.15526000	9.47342500
23.69999866	0.00000000	69.57431000	7.89247000
23.89999864	0.00000000	66.40624000	7.89247000
24.09999863	0.00000000	61.66338000	4.73671200
24.29999862	0.00000000	55.33957000	3.15575800
24.49999861	0.00000000	52.17765000	1.57480300
24.69999860	0.00000000	50.59670000	1.57480300
24.89999858	0.00000000	50.59670000	1.57480300
25.09999857	0.00000000	53.75861000	4.73671200
25.29999856	0.00000000	55.33957000	7.89247000
25.49999855	0.00000000	58.50147000	12.62918000
25.69999854	0.00000000	61.66338000	17.36589000
25.89999853	0.00000000	63.24434000	18.94685000
26.09999851	0.00000000	63.24434000	20.52780000
26.29999850	0.00000000	63.24434000	18.94685000
26.49999849	0.00000000	60.08243000	15.78494000
26.69999848	0.00000000	58.50147000	7.89247000
26.89999847	0.00000000	56.92052000	1.57480300
27.09999845	0.00000000	55.33957000	-6.31151500
27.29999844	0.00000000	56.92052000	-11.04823000
27.49999843	0.00000000	56.92052000	-12.62918000
27.69999842	0.00000000	58.50147000	-9.47342500
27.89999841	0.00000000	60.08243000	-4.73671200
28.09999839	0.00000000	61.66338000	4.73671200
28.29999838	0.00000000	61.66338000	15.78494000
28.49999837	0.00000000	60.08243000	25.26452000
28.69999836	0.00000000	58.50147000	31.57603000
28.89999835	0.00000000	56.92052000	34.73794000
29.09999834	0.00000000	56.92052000	31.57603000
29.29999832	0.00000000	55.33957000	22.10261000
29.49999831	0.00000000	55.33957000	11.04823000
29.69999830	0.00000000	56.92052000	-1.57480300
29.89999829	0.00000000	58.50147000	-12.62918000
30.09999828	0.00000000	60.08243000	-18.94685000
30.29999826	0.00000000	60.08243000	-20.52780000
30.49999825	0.00000000	60.08243000	-17.36589000
30.69999824	0.00000000	60.08243000	-7.89247000
30.89999823	0.00000000	60.08243000	4.73671200
31.09999822	0.00000000	58.50147000	15.78494000
31.29999820	0.00000000	58.50147000	26.83932000
31.49999819	0.00000000	58.50147000	33.15699000
31.69999818	0.00000000	58.50147000	33.15699000
31.89999817	0.00000000	58.50147000	30.00123000
32.09999816	0.00000000	60.08243000	20.52780000
32.29999815	0.00000000	60.08243000	9.47342500
32.49999813	0.00000000	58.50147000	-3.15575800
32.69999812	0.00000000	58.50147000	-11.04823000
32.89999811	0.00000000	55.33957000	-14.21014000
33.09999810	0.00000000	55.33957000	-14.21014000
33.29999809	0.00000000	53.75861000	-7.89247000
33.49999807	0.00000000	53.75861000	1.57480300
33.69999806	0.00000000	53.75861000	11.04823000
33.89999805	0.00000000	55.33957000	18.94685000
34.09999804	0.00000000	58.50147000	25.26452000
34.29999803	0.00000000	61.66338000	25.26452000
34.49999801	0.00000000	64.82529000	22.10261000
34.69999800	0.00000000	66.40624000	14.21014000
34.89999799	0.00000000	66.40624000	4.73671200
35.09999798	0.00000000	64.82529000	-1.57480300
35.29999797	0.00000000	63.24434000	-7.89247000
35.49999796	0.00000000	56.92052000	-9.47342500
35.69999794	0.00000000	53.75861000	-6.31151500
35.89999793	0.00000000	49.01575000	0.00000000
36.09999792	0.00000000	47.43479000	9.47342500
36.29999791	0.00000000	47.43479000	17.36589000
36.49999790	0.00000000	50.59670000	22.10261000
36.69999788	0.00000000	53.75861000	25.26452000
36.89999787	0.00000000	58.50147000	23.68356000
37.09999786	0.00000000	63.24434000	17.36589000
37.29999785	0.00000000	67.99335000	9.47342500
37.49999784	0.00000000	69.57431000	0.00000000
37.69999782	0.00000000	69.57431000	-6.31151500
37.89999781	0.00000000	67.99335000	-11.04823000
38.09999780	0.00000000	63.24434000	-9.47342500
38.29999779	0.00000000	56.92052000	-6.31151500
38.49999778	0.00000000	52.17765000	1.57480300
38.69999777	0.00000000	47.43479000	9.47342500
38.89999775	0.00000000	45.85384000	17.36589000
39.09999774	0.00000000	45.85384000	22.10261000
39.29999773	0.00000000	47.43479000	23.68356000
39.49999772	0.00000000	52.17765000	22.10261000
39.69999771	0.00000000	58.50147000	18.94685000
39.89999769	0.00000000	63.24434000	11.04823000
40.09999768	0.00000000	66.40624000	4.73671200
40.29999767	0.00000000	67.99335000	-1.57480300
40.49999766	0.00000000	69.57431000	-4.73671200
40.69999765	0.00000000	64.82529000	-4.73671200
40.89999763	0.00000000	61.66338000	-4.73671200
41.09999762	0.00000000	56.92052000	0.00000000
41.29999761	0.00000000	52.17765000	4.73671200
41.49999760	0.00000000	50.59670000	9.47342500
41.69999759	0.00000000	49.01575000	12.62918000
41.89999758	0.00000000	50.59670000	15.78494000
42.09999756	0.00000000	53.75861000	17.36589000
42.29999755	0.00000000	56.92052000	15.78494000
42.49999754	0.00000000	58.50147000	14.21014000
42.69999753	0.00000000	61.66338000	11.04823000
42.89999752	0.00000000	61.66338000	7.89247000
43.09999750	0.00000000	61.66338000	4.73671200
43.29999749	0.00000000	60.08243000	3.15575800
43.49999748	0.00000000	58.50147000	1.57480300
43.69999747	0.00000000	56.92052000	1.57480300
43.89999746	0.00000000	55.33957000	1.57480300
44.09999744	0.00000000	55.33957000	3.15575800
44.29999743	0.00000000	55.33957000	4.73671200
44.49999742	0.00000000	56.92052000	6.31151500
44.69999741	0.00000000	58.50147000	9.47342500
44.89999740	0.00000000	60.08243000	12.62918000
45.09999739	0.00000000	60.08243000	12.62918000
45.29999737	0.00000000	60.08243000	14.21014000
45.49999736	0.00000000	58.50147000	12.62918000
45.69999735	0.00000000	56.92052000	11.04823000
45.89999734	0.00000000	55.33957000	9.47342500
46.09999733	0.00000000	52.17765000	6.31151500
46.29999731	0.00000000	53.75861000	4.73671200
46.49999730	0.00000000	53.75861000	3.15575800
46.69999729	0.00000000	55.33957000	1.57480300
46.89999728	0.00000000	56.92052000	1.57480300
47.09999727	0.00000000	58.50147000	3.15575800
47.29999725	0.00000000	61.66338000	4.73671200
47.49999724	0.00000000	61.66338000	7.89247000
47.69999723	0.00000000	63.24434000	9.47342500
47.89999722	0.00000000	61.66338000	11.04823000
48.09999721	0.00000000	60.08243000	12.62918000
48.29999720	0.00000000	58.50147000	12.62918000
48.49999718	0.00000000	56.92052000	11.04823000
48.69999717	0.00000000	55.33957000	11.04823000
48.89999716	0.00000000	53.75861000	7.89247000
49.09999715	0.00000000	53.75861000	6.31151500
49.29999714	0.00000000	52.17765000	4.73671200
49.49999712	0.00000000	53.75861000	3.15575800
49.69999711	0.00000000	55.33957000	3.15575800
49.89999710	0.00000000	56.92052000	3.15575800
50.09999709	0.00000000	58.50147000	4.73671200
50.29999708	0.00000000	60.08243000	6.31151500
50.49999706	0.00000000	60.08243000	7.89247000
50.69999705	0.00000000	60.08243000	7.89247000
50.89999704	0.00000000	60.08243000	9.47342500
51.09999703	0.00000000	60.08243000	9.47342500
51.29999702	0.00000000	56.92052000	9.47342500
51.49999701	0.00000000	55.33957000	9.47342500
51.69999699	0.00000000	53.75861000	7.89247000
51.89999698	0.00000000	52.17765000	7.89247000
52.09999697	0.00000000	52.17765000	6.31151500
52.29999696	0.00000000	53.75861000	6.31151500
52.49999695	0.00000000	55.33957000	6.31151500
52.69999693	0.00000000	56.92052000	6.31151500
52.89999692	0.00000000	60.08243000	7.89247000
53.09999691	0.00000000	61.66338000	7.89247000
53.29999690	0.00000000	61.66338000	7.89247000
53.49999689	0.00000000	61.66338000	7.89247000
53.69999687	0.00000000	60.08243000	7.89247000
53.89999686	0.00000000	56.92052000	6.31151500
54.09999685	0.00000000	55.33957000	7.89247000
54.29999684	0.00000000	52.17765000	7.89247000
54.49999683	0.00000000	52.17765000	7.89247000
54.69999682	0.00000000	52.17765000	7.89247000
54.89999680	0.00000000	53.75861000	7.89247000
55.09999679	0.00000000	55.33957000	9.47342500
55.29999678	0.00000000	58.50147000	7.89247000
55.49999677	0.00000000	60.08243000	7.89247000
55.69999676	0.00000000	61.66338000	7.89247000
55.89999674	0.00000000	61.66338000	6.31151500
56.09999673	0.00000000	61.66338000	6.31151500
56.29999672	0.00000000	56.92052000	6.31151500
56.49999671	0.00000000	55.33957000	4.73671200
56.69999670	0.00000000	53.75861000	6.31151500
56.89999668	0.00000000	50.59670000	7.89247000
57.09999667	0.00000000	50.59670000	7.89247000
57.29999666	0.00000000	52.17765000	9.47342500
57.49999665	0.00000000	53.75861000	9.47342500
57.69999664	0.00000000	56.92052000	9.47342500
57.89999663	0.00000000	60.08243000	9.47342500
58.09999661	0.00000000	61.66338000	7.89247000
58.29999660	0.00000000	61.66338000	6.31151500
58.49999659	0.00000000	61.66338000	4.73671200
58.69999658	0.00000000	60.08243000	4.73671200
58.89999657	0.00000000	56.92052000	3.15575800
59.09999655	0.00000000	55.33957000	4.73671200
59.29999654	0.00000000	52.17765000	6.31151500
59.49999653	0.00000000	50.59670000	7.89247000
59.69999652	0.00000000	49.01575000	9.47342500
59.89999651	0.00000000	50.59670000	11.04823000
60.09999649	0.00000000	53.75861000	11.04823000
60.29999648	0.00000000	56.92052000	11.04823000
60.49999647	0.00000000	60.08243000	11.04823000
60.69999646	0.00000000	63.24434000	9.47342500
60.89999645	0.00000000	63.24434000	6.31151500
61.09999644	0.00000000	63.24434000	4.73671200
61.29999642	0.00000000	61.66338000	3.15575800
61.49999641	0.00000000	56.92052000	3.15575800
61.69999640	0.00000000	53.75861000	3.15575800
61.89999639	0.00000000	50.59670000	4.73671200
62.09999638	0.00000000	49.01575000	6.31151500
62.29999636	0.00000000	49.01575000	7.89247000
62.49999635	0.00000000	50.59670000	9.47342500
62.69999634	0.00000000	53.75861000	11.04823000
62.89999633	0.00000000	56.92052000	11.04823000
63.09999632	0.00000000	61.66338000	12.62918000
63.29999630	0.00000000	63.24434000	11.04823000
63.49999629	0.00000000	64.82529000	9.47342500
63.69999628	0.00000000	64.82529000	7.89247000
63.89999627	0.00000000	61.66338000	4.73671200
64.09999626	0.00000000	56.92052000	4.73671200
64.29999625	0.00000000	53.75861000	1.57480300
64.49999623	0.00000000	49.01575000	1.57480300
64.69999622	0.00000000	47.43479000	3.15575800
64.89999621	0.00000000	47.43479000	4.73671200
65.09999620	0.00000000	49.01575000	7.89247000
65.29999619	0.00000000	52.17765000	9.47342500
65.49999617	0.00000000	56.92052000	11.04823000
65.69999616	0.00000000	60.08243000	12.62918000
65.89999615	0.00000000	63.24434000	12.62918000
66.09999614	0.00000000	63.24434000	12.62918000
66.29999613	0.00000000	63.24434000	9.47342500
66.49999611	0.00000000	60.08243000	7.89247000
66.69999610	0.00000000	56.92052000	4.73671200
66.89999609	0.00000000	53.75861000	3.15575800
67.09999608	0.00000000	52.17765000	1.57480300
67.29999607	0.00000000	50.59670000	1.57480300
67.49999606	0.00000000	50.59670000	3.15575800
67.69999604	0.00000000	52.17765000	4.73671200
67.89999603	0.00000000	53.75861000	7.89247000
68.09999602	0.00000000	56.92052000	9.47342500
68.29999601	0.00000000	58.50147000	12.62918000
68.49999600	0.00000000	60.08243000	12.62918000
68.69999598	0.00000000	60.08243000	12.62918000
68.89999597	0.00000000	58.50147000	11.04823000
69.09999596	0.00000000	56.92052000	9.47342500
69.29999595	0.00000000	56.92052000	7.89247000
69.49999594	0.00000000	55.33957000	4.73671200
69.69999592	0.00000000	53.75861000	3.15575800
69.89999591	0.00000000	53.75861000	1.57480300
70.09999590	0.00000000	53.75861000	1.57480300
70.29999589	0.00000000	55.33957000	3.15575800
70.49999588	0.00000000	56.92052000	4.73671200
70.69999587	0.00000000	56.92052000	6.31151500
70.89999585	0.00000000	56.92052000	9.47342500
71.09999584	0.00000000	55.33957000	11.04823000
71.29999583	0.00000000	55.33957000	12.62918000
71.49999582	0.00000000	53.75861000	12.62918000
71.69999581	0.00000000	53.75861000	11.04823000
71.89999579	0.00000000	52.17765000	7.89247000
72.09999578	0.00000000	55.33957000	7.89247000
72.29999577	0.00000000	55.33957000	6.31151500
72.49999576	0.00000000	58.50147000	3.15575800
72.69999575	0.00000000	60.08243000	3.15575800
72.89999573	0.00000000	60.08243000	1.57480300
73.09999572	0.00000000	58.50147000	3.15575800
73.29999571	0.00000000	56.92052000	4.73671200
73.49999570	0.00000000	55.33957000	7.89247000
73.69999569	0.00000000	53.75861000	9.47342500
73.89999568	0.00000000	52.17765000	11.04823000
74.09999566	0.00000000	52.17765000	12.62918000
74.29999565	0.00000000	52.17765000	12.62918000
74.49999564	0.00000000	53.75861000	11.04823000
74.69999563	0.00000000	55.33957000	9.47342500
74.89999562	0.00000000	58.50147000	6.31151500
75.09999560	0.00000000	58.50147000	4.73671200
75.29999559	0.00000000	58.50147000	1.57480300
75.49999558	0.00000000	58.50147000	1.57480300
75.69999557	0.00000000	56.92052000	1.57480300
