Time	Channel A	Channel B
(us)	(V)	(mV)

-4.49999956	0.00000000	-6.92667200
-4.29999957	0.00000000	-6.92667200
-4.09999958	0.00000000	-6.92667200
-3.89999959	0.00000000	-6.92667200
-3.69999960	0.00000000	-6.92667200
-3.49999962	0.00000000	-6.92667200
-3.29999963	0.00000000	-6.92667200
-3.09999964	0.00000000	-6.92667200
-2.89999965	0.00000000	-6.92667200
-2.69999966	0.00000000	-6.92667200
-2.49999968	0.00000000	-6.92667200
-2.29999969	0.00000000	-6.92667200
-2.09999970	0.00000000	-6.92667200
-1.89999971	0.00000000	-6.92667200
-1.69999972	0.00000000	-6.92667200
-1.49999973	0.00000000	-6.92667200
-1.29999975	0.00000000	-6.92667200
-1.09999976	0.00000000	-6.92667200
-0.89999977	0.00000000	-6.92667200
-0.69999978	0.00000000	-6.92667200
-0.49999979	0.00000000	-6.92667200
-0.29999981	0.35125490	-6.92667200
-0.09999982	0.70250980	-6.97588500
0.10000017	1.05376500	-7.33882900
0.30000016	0.87844490	-7.78789300
0.50000015	0.70250980	-7.74483200
0.70000013	0.00000000	-7.83710600
0.90000012	-0.87844490	-7.74483200
1.10000011	-1.93282500	-7.78789300
1.30000010	-2.63533500	-7.33882900
1.50000009	-2.81127000	-6.97588500
1.70000008	-2.10814500	-6.92667200
1.90000006	-0.70250980	-6.92667200
2.10000005	1.22970000	-6.92667200
2.30000004	3.33846000	-6.92667200
2.50000003	4.91941500	-6.97588500
2.70000002	5.27128500	-7.38804100
2.90000000	4.21690500	-8.19389700
3.09999999	1.93282500	-8.60605200
3.29999998	-1.40563500	-8.65526600
3.49999997	-4.74409400	-8.60605200
3.69999996	-7.20410900	-8.14468500
3.89999994	-8.08255400	-6.92667200
4.09999993	-6.85223900	-5.70251000
4.29999992	-3.68971500	-5.24114100
4.49999991	0.52657480	-5.24114100
4.69999990	4.91941500	-5.65329700
4.89999989	8.25849000	-6.51451700
5.09999987	9.48818900	-7.33882900
5.29999986	8.43380900	-8.24311000
5.49999985	5.09534900	-9.01820900
5.69999984	0.52657480	-9.46727400
5.89999983	-4.21690500	-9.01820900
6.09999981	-7.90661900	-8.24311000
6.29999980	-9.48818900	-7.38804100
6.49999979	-8.78567900	-6.92667200
6.69999978	-5.79847400	-6.46530500
6.89999977	-1.58095500	-5.65329700
7.09999975	2.63533500	-5.29035400
7.29999974	5.97379400	-5.65329700
7.49999973	7.55536400	-6.51451700
7.69999972	7.20410900	-7.33882900
7.89999971	5.09534900	-8.19389700
8.09999970	1.93282500	-8.55684000
8.29999968	-1.22970000	-8.19389700
8.49999967	-3.68971500	-7.38804100
8.69999966	-5.09534900	-6.97588500
8.89999965	-4.91941500	-6.92667200
9.09999964	-3.68971500	-6.92667200
9.29999962	-1.75689000	-6.92667200
9.49999961	0.17531990	-6.92667200
9.69999960	1.75689000	-6.92667200
9.89999959	2.45940000	-6.92667200
10.09999958	2.45940000	-6.92667200
10.29999956	1.75689000	-6.97588500
